,Technology,Capitalcost
266,TRLV_258_0,20650.04764
267,TRLV_258_1,5163.636911
268,TRLV_259_0,9307.986933
269,TRLV_259_1,2328.121733
449,TRLV_26_0,335.8799576
270,TRLV_260_0,11448.32722
271,TRLV_260_1,2863.206805
272,TRLV_261_0,12752.75584
273,TRLV_261_1,3189.313959
274,TRLV_262_0,9391.499121
275,TRLV_262_1,2348.99978
276,TRLV_263_0,8879.820358
277,TRLV_263_1,2221.08009
278,TRLV_264_0,3320.021907
279,TRLV_264_1,831.1304768
280,TRLV_265_0,1880.019928
281,TRLV_265_1,471.1299821
282,TRLV_266_0,6256.237853
283,TRLV_266_1,1565.184463
284,TRLV_267_0,5417.108234
285,TRLV_267_1,1355.402059
286,TRLV_268_0,8295.498205
287,TRLV_268_1,2074.999551
288,TRLV_269_0,7506.382323
289,TRLV_269_1,1877.720581
450,TRLV_27_0,1743.439499
290,TRLV_270_0,1792.839285
291,TRLV_270_1,449.3348214
292,TRLV_271_0,676.5499236
293,TRLV_271_1,170.2624809
556,TRLV_272_0,813.944059
557,TRLV_273_0,2077.501594
558,TRLV_274_0,1380.045912
559,TRLV_275_0,945.9957672
560,TRLV_276_0,4679.720532
294,TRLV_277_0,11052.0154
295,TRLV_277_1,2764.128851
296,TRLV_278_0,5853.326264
297,TRLV_278_1,1464.456566
298,TRLV_279_0,5519.581745
299,TRLV_279_1,1381.020436
451,TRLV_28_0,1042.644558
300,TRLV_280_0,5197.560816
301,TRLV_280_1,1300.515204
302,TRLV_281_0,5852.656145
303,TRLV_281_1,1464.289036
304,TRLV_282_0,4026.415784
305,TRLV_282_1,1007.728946
306,TRLV_283_0,1001.299786
307,TRLV_283_1,251.4499464
308,TRLV_284_0,6652.84469
309,TRLV_284_1,1664.336172
310,TRLV_285_0,8822.925415
311,TRLV_285_1,2206.856354
312,TRLV_286_0,9409.784556
313,TRLV_286_1,2353.571139
314,TRLV_287_0,6859.739622
315,TRLV_287_1,1716.059906
316,TRLV_288_0,2551.141758
317,TRLV_288_1,638.9104395
561,TRLV_289_0,553.5923649
452,TRLV_29_0,450.3662162
562,TRLV_290_0,807.8674322
318,TRLV_291_0,1876.133731
319,TRLV_291_1,470.1584327
320,TRLV_292_0,1913.633049
321,TRLV_292_1,479.5332623
563,TRLV_293_0,899.6064841
564,TRLV_294_0,4642.300293
565,TRLV_295_0,5576.553868
566,TRLV_296_0,1287.272948
322,TRLV_297_0,6096.969354
323,TRLV_297_1,1525.367338
324,TRLV_298_0,5516.85606
325,TRLV_298_1,1380.339015
326,TRLV_299_0,3228.99005
327,TRLV_299_1,808.3725126
435,TRLV_3_0,652.2960072
453,TRLV_30_0,5309.968059
328,TRLV_300_0,4194.835414
329,TRLV_300_1,1049.833854
330,TRLV_301_0,6304.807508
331,TRLV_301_1,1577.326877
332,TRLV_302_0,6641.236566
333,TRLV_302_1,1661.434141
334,TRLV_303_0,11408.44836
335,TRLV_303_1,2853.237089
336,TRLV_304_0,9495.310695
337,TRLV_304_1,2374.952674
338,TRLV_305_0,8517.970774
339,TRLV_305_1,2130.617693
567,TRLV_306_0,1207.581209
568,TRLV_307_0,1180.310847
569,TRLV_308_0,1231.280867
570,TRLV_309_0,1092.694212
454,TRLV_31_0,3298.45824
340,TRLV_310_0,3144.86231
341,TRLV_310_1,787.3405776
571,TRLV_311_0,3776.451707
572,TRLV_312_0,1557.999181
573,TRLV_313_0,1717.757223
342,TRLV_314_0,1635.173296
343,TRLV_314_1,409.9183241
344,TRLV_315_0,3480.368626
345,TRLV_315_1,871.2171565
346,TRLV_316_0,3488.149121
347,TRLV_316_1,873.1622803
348,TRLV_317_0,3480.910197
349,TRLV_317_1,871.3525493
350,TRLV_318_0,6912.713445
351,TRLV_318_1,1729.303361
352,TRLV_319_0,7844.555076
353,TRLV_319_1,1962.263769
18,TRLV_32_0,1851.921273
19,TRLV_32_1,464.1053184
354,TRLV_320_0,11358.63486
355,TRLV_320_1,2840.783714
356,TRLV_321_0,9668.44926
357,TRLV_321_1,2418.237315
358,TRLV_322_0,7528.72161
359,TRLV_322_1,1883.305403
574,TRLV_323_0,686.0157198
575,TRLV_324_0,554.8227111
576,TRLV_325_0,432.6603234
577,TRLV_326_0,196.1902407
360,TRLV_327_0,2380.18855
361,TRLV_327_1,596.1721376
578,TRLV_328_0,2276.92747
579,TRLV_329_0,903.4403793
20,TRLV_33_0,6963.222638
21,TRLV_33_1,1741.930659
362,TRLV_330_0,1235.359959
363,TRLV_330_1,309.9649897
364,TRLV_331_0,4085.892067
365,TRLV_331_1,1022.598017
366,TRLV_332_0,6042.26859
367,TRLV_332_1,1511.692148
368,TRLV_333_0,3219.580405
369,TRLV_333_1,806.0201013
370,TRLV_334_0,3258.984143
371,TRLV_334_1,815.8710357
372,TRLV_335_0,7656.876077
373,TRLV_335_1,1915.344019
374,TRLV_336_0,3459.152352
375,TRLV_336_1,865.913088
580,TRLV_338_0,406.6515041
581,TRLV_339_0,139.3328612
22,TRLV_34_0,10576.0943
23,TRLV_34_1,2645.148575
582,TRLV_340_0,257.2133109
376,TRLV_341_0,2186.517833
377,TRLV_341_1,547.7544582
378,TRLV_342_0,4734.187796
379,TRLV_342_1,1184.671949
380,TRLV_343_0,3718.808292
381,TRLV_343_1,930.8270731
382,TRLV_344_0,2115.301959
383,TRLV_344_1,529.9504898
384,TRLV_345_0,2755.908796
385,TRLV_345_1,690.1021991
386,TRLV_346_0,3742.785485
387,TRLV_346_1,936.8213713
388,TRLV_347_0,3020.787823
389,TRLV_347_1,756.3219557
583,TRLV_349_0,138.8605091
455,TRLV_35_0,1422.573155
584,TRLV_350_0,280.1016706
585,TRLV_351_0,308.5780101
390,TRLV_352_0,2444.868985
391,TRLV_352_1,612.3422463
392,TRLV_353_0,6878.759265
393,TRLV_353_1,1720.814816
394,TRLV_354_0,379.6710265
395,TRLV_354_1,96.04275661
396,TRLV_355_0,188.2187885
397,TRLV_355_1,48.17969712
586,TRLV_356_0,67.7577262
587,TRLV_357_0,1022.496914
398,TRLV_358_0,3896.694001
399,TRLV_358_1,975.2985003
400,TRLV_359_0,6552.759661
401,TRLV_359_1,1639.314915
456,TRLV_36_0,2430.369488
402,TRLV_360_0,3545.434174
403,TRLV_360_1,887.4835435
404,TRLV_361_0,4062.70458
405,TRLV_361_1,1016.801145
406,TRLV_362_0,1697.035093
407,TRLV_362_1,425.3837734
408,TRLV_363_0,202.0657259
409,TRLV_363_1,51.64143147
410,TRLV_364_0,1690.987295
411,TRLV_364_1,423.8718238
412,TRLV_365_0,9694.417201
413,TRLV_365_1,2424.7293
414,TRLV_366_0,305.60996
415,TRLV_366_1,77.52749
416,TRLV_367_0,1574.947129
417,TRLV_367_1,394.8617822
418,TRLV_368_0,2039.745439
419,TRLV_368_1,511.0613597
420,TRLV_369_0,1836.913579
421,TRLV_369_1,460.3533947
457,TRLV_37_0,1846.490715
422,TRLV_370_0,6236.989318
423,TRLV_370_1,1560.37233
424,TRLV_371_0,8775.68573
425,TRLV_371_1,2195.046432
588,TRLV_372_0,982.7617901
426,TRLV_373_0,5052.672912
427,TRLV_373_1,1264.293228
428,TRLV_374_0,11323.64893
429,TRLV_374_1,2832.037234
430,TRLV_375_0,5657.880262
431,TRLV_375_1,1415.595066
432,TRLV_376_0,8968.9209
433,TRLV_376_1,2243.355225
589,TRLV_377_0,528.6556894
590,TRLV_378_0,363.2302717
