Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,elec
EL3_51_0,0,0,0.448692151,0.897384301,1.346076452,1.794768603,2.243460753,2.692152904,3.140845055,3.589537205,4.038229356,4.486921506,4.935613657,5.384305808,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,5.832997958,0
EL3_51_1,32.92271981,35.29723008,37.61090375,39.74581457,42.13369168,44.65648414,48.04273489,51.21649395,54.64321931,59.3819965,63.8678074,68.17485545,73.81081977,78.84641074,84.18893416,89.8182774,95.80851922,102.1798969,108.9695122,116.2178397,123.4931503,131.3823258,136.8686828,143.6156552,150.3626277,1
EL3_52_0,0,0,0.256735319,0.513470637,0.770205956,1.026941275,1.283676593,1.540411912,1.797147231,2.053882549,2.310617868,2.567353186,2.824088505,3.080823824,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,3.337559142,0
EL3_52_1,2.215684204,2.375487675,2.531196869,2.674875405,2.835578458,3.005361254,3.233254403,3.446846957,3.677464029,3.996381598,4.29827465,4.588137043,4.967434901,5.306327904,5.665877321,6.044729584,6.447870158,6.876661005,7.333599055,7.82140823,8.311033353,8.841971305,9.211200662,9.665268864,10.11933707,1
EL3_53_0,0,0,0.441405835,0.88281167,1.324217505,1.76562334,2.207029175,2.648435009,3.089840844,3.531246679,3.972652514,4.414058349,4.855464184,5.296870019,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,5.738275854,0
EL3_53_1,0.633201755,0.678870645,0.723369466,0.764430147,0.810356121,0.858876918,0.924004585,0.985045405,1.050951518,1.142092288,1.228367765,1.3112051,1.419601445,1.516450826,1.619203431,1.727472433,1.842682587,1.965223117,2.0958076,2.235214481,2.375140328,2.52687262,2.632391573,2.762155906,2.891920239,1
EL3_54_0,0,0,0.436518716,0.873037432,1.309556148,1.746074864,2.18259358,2.619112297,3.055631013,3.492149729,3.928668445,4.365187161,4.801705877,5.238224593,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,5.674743309,0
EL3_55_0,0,0,0.277924121,0.555848241,0.833772362,1.111696482,1.389620603,1.667544723,1.945468844,2.223392964,2.501317085,2.779241205,3.057165326,3.335089446,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,3.613013567,0
EL3_56_0,0,0,0.123550294,0.247100588,0.370650882,0.494201176,0.61775147,0.741301765,0.864852059,0.988402353,1.111952647,1.235502941,1.359053235,1.482603529,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,1.606153823,0
EL3_57_0,0,0,0.107420905,0.214841811,0.322262716,0.429683622,0.537104527,0.644525433,0.751946338,0.859367244,0.966788149,1.074209054,1.18162996,1.289050865,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,1.396471771,0
EL3_58_0,0,0,0.150525363,0.301050726,0.451576089,0.602101452,0.752626814,0.903152177,1.05367754,1.204202903,1.354728266,1.505253629,1.655778992,1.806304355,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,1.956829718,0
