,Column,Fuel,Technology,Outputactivity,ModeofOperation
197,0,EL3_53_0,SOPV_53_0,1.0,1
198,0,EL3_58_1,TRLV_58_1,0.865,1
199,0,EL3_58_1,BACKSTOP,0.865,1
200,0,EL3_58_0,TRLV_58_0,0.865,1
201,0,EL3_58_0,BACKSTOP,0.865,1
202,0,EL3_58_1,KEEL00d_58,0.865,1
203,0,EL3_58_1,SOPV12h_58_1,1.0,1
204,0,EL3_58_0,SOPV12h_58_0,1.0,1
205,0,EL3_58_1,SOPV8h_58_1,1.0,1
206,0,EL3_58_0,SOPV8h_58_0,1.0,1
207,0,EL3_58_1,SOPV_58_1,1.0,1
208,0,EL3_58_0,SOPV_58_0,1.0,1
209,0,EL3_59_1,TRLV_59_1,0.865,1
210,0,EL3_59_1,BACKSTOP,0.865,1
211,0,EL3_59_0,TRLV_59_0,0.865,1
212,0,EL3_59_0,BACKSTOP,0.865,1
213,0,EL3_59_1,KEEL00d_59,0.865,1
214,0,EL3_59_1,SOPV12h_59_1,1.0,1
215,0,EL3_59_0,SOPV12h_59_0,1.0,1
216,0,EL3_59_1,SOPV8h_59_1,1.0,1
217,0,EL3_59_0,SOPV8h_59_0,1.0,1
218,0,EL3_59_1,SOPV_59_1,1.0,1
219,0,EL3_59_0,SOPV_59_0,1.0,1
220,0,EL3_72_1,TRLV_72_1,0.865,1
221,0,EL3_72_1,BACKSTOP,0.865,1
222,0,EL3_72_0,TRLV_72_0,0.865,1
223,0,EL3_72_0,BACKSTOP,0.865,1
224,0,EL3_72_1,KEEL00d_72,0.865,1
225,0,EL3_72_1,SOPV12h_72_1,1.0,1
226,0,EL3_72_0,SOPV12h_72_0,1.0,1
227,0,EL3_72_1,SOPV8h_72_1,1.0,1
228,0,EL3_72_0,SOPV8h_72_0,1.0,1
229,0,EL3_72_1,SOPV_72_1,1.0,1
230,0,EL3_72_0,SOPV_72_0,1.0,1
231,0,EL3_73_1,TRLV_73_1,0.865,1
232,0,EL3_73_1,BACKSTOP,0.865,1
233,0,EL3_73_0,TRLV_73_0,0.865,1
234,0,EL3_73_0,BACKSTOP,0.865,1
235,0,EL3_73_1,KEEL00d_73,0.865,1
236,0,EL3_73_1,SOPV12h_73_1,1.0,1
237,0,EL3_73_0,SOPV12h_73_0,1.0,1
238,0,EL3_73_1,SOPV8h_73_1,1.0,1
239,0,EL3_73_0,SOPV8h_73_0,1.0,1
240,0,EL3_73_1,SOPV_73_1,1.0,1
241,0,EL3_73_0,SOPV_73_0,1.0,1
242,0,EL3_74_1,TRLV_74_1,0.865,1
243,0,EL3_74_1,BACKSTOP,0.865,1
244,0,EL3_74_0,TRLV_74_0,0.865,1
245,0,EL3_74_0,BACKSTOP,0.865,1
246,0,EL3_74_1,KEEL00d_74,0.865,1
247,0,EL3_74_1,SOPV12h_74_1,1.0,1
248,0,EL3_74_0,SOPV12h_74_0,1.0,1
249,0,EL3_74_1,SOPV8h_74_1,1.0,1
250,0,EL3_74_0,SOPV8h_74_0,1.0,1
251,0,EL3_74_1,SOPV_74_1,1.0,1
252,0,EL3_74_0,SOPV_74_0,1.0,1
253,0,EL3_87_1,TRLV_87_1,0.865,1
254,0,EL3_87_1,BACKSTOP,0.865,1
255,0,EL3_87_0,TRLV_87_0,0.865,1
256,0,EL3_87_0,BACKSTOP,0.865,1
257,0,EL3_87_1,KEEL00d_87,0.865,1
258,0,EL3_87_1,SOPV12h_87_1,1.0,1
259,0,EL3_87_0,SOPV12h_87_0,1.0,1
260,0,EL3_87_1,SOPV8h_87_1,1.0,1
261,0,EL3_87_0,SOPV8h_87_0,1.0,1
262,0,EL3_87_1,SOPV_87_1,1.0,1
263,0,EL3_87_0,SOPV_87_0,1.0,1
264,0,EL3_88_1,TRLV_88_1,0.865,1
265,0,EL3_88_1,BACKSTOP,0.865,1
266,0,EL3_88_0,TRLV_88_0,0.865,1
267,0,EL3_88_0,BACKSTOP,0.865,1
268,0,EL3_88_1,KEEL00d_88,0.865,1
269,0,EL3_88_1,SOPV12h_88_1,1.0,1
270,0,EL3_88_0,SOPV12h_88_0,1.0,1
271,0,EL3_88_1,SOPV8h_88_1,1.0,1
272,0,EL3_88_0,SOPV8h_88_0,1.0,1
273,0,EL3_88_1,SOPV_88_1,1.0,1
274,0,EL3_88_0,SOPV_88_0,1.0,1
