,Column,Fuel,Technology,Inputactivity,ModeofOperation
1071,0,EL2_219,TRLV_219_0,1,1
1072,0,KEEL2,KEEL00d_219,1,1
1073,0,SOLAR_219,SOPV_219_1,1,1
1074,0,SOLAR_219,SOPV_219_0,1,1
1075,0,SOLAR_219,SOPV8h_219_1,1,1
1076,0,SOLAR_219,SOPV8h_219_0,1,1
1077,0,SOLAR_219,SOPV12h_219_1,1,1
1089,0,SOLAR_220,SOPV12h_220_0,1,1
1079,0,KEEL2_219,TRLV_219_1,1,1
1080,0,KEEL2_219,TRLV_219_0,1,1
1081,0,EL2_220,TRLV_220_1,1,1
1082,0,EL2_220,TRLV_220_0,1,1
1083,0,KEEL2,KEEL00d_220,1,1
1084,0,SOLAR_220,SOPV_220_1,1,1
1085,0,SOLAR_220,SOPV_220_0,1,1
1086,0,SOLAR_220,SOPV8h_220_1,1,1
1087,0,SOLAR_220,SOPV8h_220_0,1,1
1088,0,SOLAR_220,SOPV12h_220_1,1,1
1100,0,SOLAR_221,SOPV12h_221_0,1,1
1090,0,KEEL2_220,TRLV_220_1,1,1
1091,0,KEEL2_220,TRLV_220_0,1,1
1092,0,EL2_221,TRLV_221_1,1,1
1093,0,EL2_221,TRLV_221_0,1,1
1094,0,KEEL2,KEEL00d_221,1,1
1095,0,SOLAR_221,SOPV_221_1,1,1
1096,0,SOLAR_221,SOPV_221_0,1,1
1097,0,SOLAR_221,SOPV8h_221_1,1,1
1098,0,SOLAR_221,SOPV8h_221_0,1,1
1099,0,SOLAR_221,SOPV12h_221_1,1,1
1111,0,SOLAR_222,SOPV12h_222_0,1,1
1101,0,KEEL2_221,TRLV_221_1,1,1
1102,0,KEEL2_221,TRLV_221_0,1,1
1103,0,EL2_222,TRLV_222_1,1,1
1104,0,EL2_222,TRLV_222_0,1,1
1105,0,KEEL2,KEEL00d_222,1,1
1106,0,SOLAR_222,SOPV_222_1,1,1
1107,0,SOLAR_222,SOPV_222_0,1,1
1108,0,SOLAR_222,SOPV8h_222_1,1,1
1109,0,SOLAR_222,SOPV8h_222_0,1,1
1110,0,SOLAR_222,SOPV12h_222_1,1,1
1122,0,SOLAR_223,SOPV12h_223_0,1,1
1112,0,KEEL2_222,TRLV_222_1,1,1
1113,0,KEEL2_222,TRLV_222_0,1,1
1114,0,EL2_223,TRLV_223_1,1,1
1115,0,EL2_223,TRLV_223_0,1,1
1116,0,KEEL2,KEEL00d_223,1,1
1117,0,SOLAR_223,SOPV_223_1,1,1
1118,0,SOLAR_223,SOPV_223_0,1,1
1119,0,SOLAR_223,SOPV8h_223_1,1,1
1120,0,SOLAR_223,SOPV8h_223_0,1,1
1121,0,SOLAR_223,SOPV12h_223_1,1,1
1133,0,SOLAR_224,SOPV12h_224_0,1,1
1123,0,KEEL2_223,TRLV_223_1,1,1
1124,0,KEEL2_223,TRLV_223_0,1,1
1125,0,EL2_224,TRLV_224_1,1,1
1126,0,EL2_224,TRLV_224_0,1,1
1127,0,KEEL2,KEEL00d_224,1,1
1128,0,SOLAR_224,SOPV_224_1,1,1
1129,0,SOLAR_224,SOPV_224_0,1,1
1130,0,SOLAR_224,SOPV8h_224_1,1,1
1131,0,SOLAR_224,SOPV8h_224_0,1,1
1132,0,SOLAR_224,SOPV12h_224_1,1,1
1144,0,SOLAR_225,SOPV12h_225_0,1,1
1134,0,KEEL2_224,TRLV_224_1,1,1
1135,0,KEEL2_224,TRLV_224_0,1,1
1136,0,EL2_225,TRLV_225_1,1,1
1137,0,EL2_225,TRLV_225_0,1,1
1138,0,KEEL2,KEEL00d_225,1,1
1139,0,SOLAR_225,SOPV_225_1,1,1
1140,0,SOLAR_225,SOPV_225_0,1,1
1141,0,SOLAR_225,SOPV8h_225_1,1,1
1142,0,SOLAR_225,SOPV8h_225_0,1,1
1143,0,SOLAR_225,SOPV12h_225_1,1,1
1155,0,SOLAR_226,SOPV12h_226_0,1,1
1145,0,KEEL2_225,TRLV_225_1,1,1
1146,0,KEEL2_225,TRLV_225_0,1,1
