,DISTANCE,SendTech,INFUEL,INTECH,OUTFUEL
880,,,EL2_99,TRHV_99_98,EL2_98
881,,,EL2_81,TRHV_81_98,EL2_98
882,,,EL2_116,TRHV_116_99,EL2_99
883,,,EL2_98,TRHV_98_99,EL2_99
884,,,EL2_82,TRHV_82_99,EL2_99
885,,,EL2_118,TRHV_118_101,EL2_101
886,,,EL2_84,TRHV_84_101,EL2_101
887,,,EL2_119,TRHV_119_102,EL2_102
888,,,EL2_101,TRHV_101_102,EL2_102
889,,,EL2_103,TRHV_103_102,EL2_102
890,,,EL2_85,TRHV_85_102,EL2_102
891,,,EL2_120,TRHV_120_103,EL2_103
892,,,EL2_104,TRHV_104_103,EL2_103
893,,,EL2_86,TRHV_86_103,EL2_103
894,,,EL2_121,TRHV_121_104,EL2_104
895,,,EL2_103,TRHV_103_104,EL2_104
896,,,EL2_124,TRHV_124_107,EL2_107
897,,,EL2_90,TRHV_90_107,EL2_107
898,,,EL2_128,TRHV_128_111,EL2_111
899,,,EL2_112,TRHV_112_111,EL2_111
900,,,EL2_129,TRHV_129_112,EL2_112
901,,,EL2_111,TRHV_111_112,EL2_112
902,,,EL2_113,TRHV_113_112,EL2_112
903,,,EL2_95,TRHV_95_112,EL2_112
904,,,EL2_130,TRHV_130_113,EL2_113
905,,,EL2_112,TRHV_112_113,EL2_113
906,,,EL2_96,TRHV_96_113,EL2_113
907,,,EL2_132,TRHV_132_115,EL2_115
908,,,EL2_116,TRHV_116_115,EL2_115
909,,,EL2_98,TRHV_98_115,EL2_115
910,,,EL2_133,TRHV_133_116,EL2_116
911,,,EL2_115,TRHV_115_116,EL2_116
912,,,EL2_99,TRHV_99_116,EL2_116
913,,,EL2_135,TRHV_135_118,EL2_118
914,,,EL2_119,TRHV_119_118,EL2_118
915,,,EL2_101,TRHV_101_118,EL2_118
916,,,EL2_136,TRHV_136_119,EL2_119
917,,,EL2_118,TRHV_118_119,EL2_119
918,,,EL2_120,TRHV_120_119,EL2_119
919,,,EL2_137,TRHV_137_120,EL2_120
920,,,EL2_119,TRHV_119_120,EL2_120
921,,,EL2_121,TRHV_121_120,EL2_120
922,,,EL2_103,TRHV_103_120,EL2_120
923,,,EL2_138,TRHV_138_121,EL2_121
924,,,EL2_120,TRHV_120_121,EL2_121
925,,,EL2_104,TRHV_104_121,EL2_121
926,,,EL2_141,TRHV_141_124,EL2_124
